车辆ID,日期,油耗,标记,车牌
50005090,2015/11/1,88.41,H,26111
50005106,2015/11/1,0,L,26112
50005018,2015/11/1,50.61,M,26113
50005096,2015/11/1,95.12,H,26114
50005086,2015/11/1,44.49,L,26115
50005013,2015/11/1,78.51,M,26116
50005098,2015/11/1,77.79,M,26117
50005102,2015/11/1,88.88,H,26118
50005020,2015/11/1,50,L,26119
50005099,2015/11/1,47.13,L,26120
50005084,2015/11/1,88.89,H,26121
50005093,2015/11/1,69.54,M,26122
50005097,2015/11/1,82.01,H,26123
50005111,2015/11/1,57.81,M,26124
50005021,2015/11/1,59.79,M,26125
50005095,2015/11/1,50,L,26126
50005088,2015/11/1,85.47,H,26127
50005017,2015/11/1,59.21,M,26128
50005087,2015/11/1,77.86,M,26129
50005014,2015/11/1,50,L,26130
50005023,2015/11/1,66.5,M,26131
50005091,2015/11/1,54.96,M,26132
50005105,2015/11/1,96.02,H,26133
50005100,2015/11/1,61.36,M,26134
50005085,2015/11/1,0,L,26135
50005016,2015/11/1,0,L,26136
50005109,2015/11/1,0,L,26137
50005089,2015/11/1,91.22,H,26138
50005090,2015/11/2,47.13,L,26111
50005106,2015/11/2,85.03,H,26112
50005018,2015/11/2,53,M,26113
50005096,2015/11/2,53.06,M,26114
50005086,2015/11/2,66.66,H,26115
50005013,2015/11/2,69.76,H,26116
50005098,2015/11/2,55.04,M,26117
50005102,2015/11/2,52.01,M,26118
50005020,2015/11/2,44.92,L,26119
50005099,2015/11/2,50,L,26120
50005084,2015/11/2,58,M,26121
50005093,2015/11/2,0,L,26122
50005097,2015/11/2,64.25,M,26123
50005111,2015/11/2,52.53,M,26124
50005021,2015/11/2,50.51,M,26125
50005095,2015/11/2,50.07,M,26126
50005088,2015/11/2,0,L,26127
50005017,2015/11/2,77.31,H,26128
50005087,2015/11/2,50.03,L,26129
50005014,2015/11/2,52.15,M,26130
50005023,2015/11/2,66.87,H,26131
50005091,2015/11/2,52.04,M,26132
50005105,2015/11/2,0,L,26133
50005100,2015/11/2,60.95,M,26134
50005085,2015/11/2,90.03,H,26135
50005016,2015/11/2,83.43,H,26136
50005109,2015/11/2,100.01,H,26137
50005089,2015/11/2,0,L,26138
50005090,2015/11/3,78.33,H,26111
50005106,2015/11/3,37.99,M,26112
50005018,2015/11/3,50,M,26113
50005096,2015/11/3,51.55,M,26114
50005086,2015/11/3,47.54,M,26115
50005013,2015/11/3,0,L,26116
50005098,2015/11/3,63.28,H,26117
50005102,2015/11/3,75.01,H,26118
50005020,2015/11/3,50,M,26119
50005099,2015/11/3,50,M,26120
50005084,2015/11/3,0,L,26121
50005093,2015/11/3,49.16,M,26122
50005097,2015/11/3,0,L,26123
50005111,2015/11/3,0,L,26124
50005021,2015/11/3,49.03,M,26125
50005095,2015/11/3,60,M,26126
50005088,2015/11/3,52.71,M,26127
50005017,2015/11/3,34.56,L,26128
50005087,2015/11/3,61.09,H,26129
50005014,2015/11/3,50,M,26130
50005023,2015/11/3,0,L,26131
50005091,2015/11/3,58.48,M,26132
50005105,2015/11/3,72.03,H,26133
50005100,2015/11/3,65.91,H,26134
50005085,2015/11/3,0,L,26135
50005016,2015/11/3,0,L,26136
50005109,2015/11/3,78.82,H,26137
50005089,2015/11/3,92.23,H,26138
50005090,2015/11/4,0,L,26111
50005106,2015/11/4,62.01,M,26112
50005018,2015/11/4,45.75,L,26113
50005096,2015/11/4,70.37,H,26114
50005086,2015/11/4,58.64,M,26115
50005013,2015/11/4,100,H,26116
50005098,2015/11/4,50.04,M,26117
50005102,2015/11/4,0,L,26118
50005020,2015/11/4,51.13,M,26119
50005099,2015/11/4,60,M,26120
50005084,2015/11/4,0,L,26121
50005093,2015/11/4,54.81,M,26122
50005097,2015/11/4,80,H,26123
50005111,2015/11/4,62.63,M,26124
50005021,2015/11/4,54.26,M,26125
50005095,2015/11/4,50,M,26126
50005088,2015/11/4,60.02,M,26127
50005017,2015/11/4,71,H,26128
50005087,2015/11/4,49.78,M,26129
50005014,2015/11/4,0,L,26130
50005023,2015/11/4,86.93,H,26131
50005091,2015/11/4,50,M,26132
50005105,2015/11/4,72.73,H,26133
50005100,2015/11/4,46.3,L,26134
50005085,2015/11/4,87.78,H,26135
50005016,2015/11/4,84.36,H,26136
